TIME_STEP, acou_kinetic, dipo_kinetic, short_range, long_range, dipole_E_field, unharmonic, homo_strain, homo_coupling, homo_strain_int, homo_coupling_i, inho_strain, inho_coupling, inho_modulation, total_energy, H_Nose_Poincare
103, 0.000000, 0.095829, 0.042338, 0.026748, 0.000000, 0.032849, 0.003687, -0.007373, 0.000102, 0.000023, 0.005103, -0.010206, 0.000000, 0.189098, 0.000030
104, 0.000000, 0.090162, 0.042834, 0.028122, 0.000000, 0.033870, 0.003847, -0.007694, 0.000102, 0.000023, 0.005275, -0.010550, 0.000000, 0.185991, 0.000031
105, 0.000000, 0.085161, 0.043322, 0.029113, 0.000000, 0.034883, 0.004005, -0.008010, 0.000102, 0.000024, 0.005441, -0.010882, 0.000000, 0.183159, 0.000034
106, 0.000000, 0.080841, 0.043803, 0.029715, 0.000000, 0.035881, 0.004160, -0.008321, 0.000102, 0.000024, 0.005601, -0.011202, 0.000000, 0.180605, 0.000037
107, 0.000000, 0.077208, 0.044277, 0.029922, 0.000000, 0.036854, 0.004312, -0.008623, 0.000102, 0.000024, 0.005754, -0.011508, 0.000000, 0.178323, 0.000039
108, 0.000000, 0.074257, 0.044746, 0.029732, 0.000000, 0.037796, 0.004458, -0.008917, 0.000103, 0.000024, 0.005899, -0.011798, 0.000000, 0.176301, 0.000041
109, 0.000000, 0.071972, 0.045211, 0.029148, 0.000000, 0.038704, 0.004600, -0.009201, 0.000103, 0.000025, 0.006036, -0.012072, 0.000000, 0.174526, 0.000041
110, 0.000000, 0.070329, 0.045675, 0.028174, 0.000000, 0.039582, 0.004737, -0.009473, 0.000103, 0.000025, 0.006165, -0.012330, 0.000000, 0.172986, 0.000040
111, 0.000000, 0.069299, 0.046140, 0.026815, 0.000000, 0.040439, 0.004867, -0.009735, 0.000103, 0.000025, 0.006286, -0.012573, 0.000000, 0.171668, 0.000039
112, 0.000000, 0.068855, 0.046610, 0.025082, 0.000000, 0.041278, 0.004992, -0.009985, 0.000103, 0.000025, 0.006400, -0.012799, 0.000000, 0.170561, 0.000038
113, 0.000000, 0.068972, 0.047088, 0.022986, 0.000000, 0.042099, 0.005111, -0.010223, 0.000103, 0.000025, 0.006505, -0.013011, 0.000000, 0.169657, 0.000036
114, 0.000000, 0.069632, 0.047578, 0.020538, 0.000000, 0.042897, 0.005224, -0.010449, 0.000104, 0.000025, 0.006603, -0.013206, 0.000000, 0.168947, 0.000034
115, 0.000000, 0.070813, 0.048085, 0.017756, 0.000000, 0.043668, 0.005332, -0.010663, 0.000104, 0.000025, 0.006693, -0.013386, 0.000000, 0.168427, 0.000031
116, 0.000000, 0.072493, 0.048612, 0.014656, 0.000000, 0.044411, 0.005433, -0.010866, 0.000104, 0.000026, 0.006775, -0.013550, 0.000000, 0.168092, 0.000028
